date,ticker,close
2024-09-19,000660.KS,150631.1875
2024-09-20,000660.KS,154870.140625
2024-09-23,000660.KS,159700.609375
2024-09-24,000660.KS,161179.3125
2024-09-25,000660.KS,162953.765625
2024-09-26,000660.KS,178332.328125
2024-09-27,000660.KS,181492.171875
2024-09-30,000660.KS,172407.6875
2024-10-02,000660.KS,166976.75
2024-10-04,000660.KS,171913.96875
2024-10-07,000660.KS,182578.34375
2024-10-08,000660.KS,175764.984375
2024-10-10,000660.KS,184355.765625
2024-10-11,000660.KS,183664.53125
2024-10-14,000660.KS,183664.53125
2024-10-15,000660.KS,190477.890625
2024-10-16,000660.KS,186330.640625
2024-10-17,000660.KS,193539.0
2024-10-18,000660.KS,184948.21875
2024-10-21,000660.KS,188503.015625
2024-10-22,000660.KS,185441.921875
2024-10-23,000660.KS,193539.0
2024-10-24,000660.KS,195711.34375
2024-10-25,000660.KS,198476.203125
2024-10-28,000660.KS,193539.0
2024-10-29,000660.KS,187910.546875
2024-10-30,000660.KS,192551.546875
2024-10-31,000660.KS,183960.78125
2024-11-01,000660.KS,179912.265625
2024-11-04,000660.KS,191564.078125
2024-11-05,000660.KS,190774.171875
2024-11-06,000660.KS,193341.484375
2024-11-07,000660.KS,193341.484375
2024-11-08,000660.KS,197982.484375
2024-11-11,000660.KS,190181.6875
2024-11-12,000660.KS,183467.0625
2024-11-13,000660.KS,180603.46875
2024-11-14,000660.KS,170827.78125
2024-11-15,000660.KS,175962.515625
2024-11-18,000660.KS,169544.09375
2024-11-19,000660.KS,168457.9375
2024-11-20,000660.KS,168457.9375
2024-11-21,000660.KS,166680.515625
2024-11-22,000660.KS,174481.3125
2024-11-25,000660.KS,174777.546875
2024-11-26,000660.KS,174876.28125
2024-11-27,000660.KS,166186.78125
2024-11-28,000660.KS,159077.203125
2024-11-29,000660.KS,157892.265625
2024-12-02,000660.KS,156806.078125
2024-12-03,000660.KS,162829.484375
2024-12-04,000660.KS,165890.546875
2024-12-05,000660.KS,170827.78125
2024-12-06,000660.KS,165001.859375
2024-12-09,000660.KS,166779.28125
2024-12-10,000660.KS,168260.4375
2024-12-11,000660.KS,169642.8125
2024-12-12,000660.KS,173888.859375
2024-12-13,000660.KS,173296.390625
2024-12-16,000660.KS,177048.671875
2024-12-17,000660.KS,181689.65625
2024-12-18,000660.KS,181195.953125
2024-12-19,000660.KS,172802.65625
2024-12-20,000660.KS,166384.296875
2024-12-23,000660.KS,167470.46875
2024-12-24,000660.KS,166384.296875
2024-12-26,000660.KS,167964.1875
2024-12-27,000660.KS,172308.9375
2024-12-30,000660.KS,171716.453125
2025-01-02,000660.KS,169050.375
2025-01-03,000660.KS,179616.015625
2025-01-06,000660.KS,197291.265625
2025-01-07,000660.KS,192551.546875
2025-01-08,000660.KS,192255.328125
2025-01-09,000660.KS,202426.0
2025-01-10,000660.KS,200944.828125
2025-01-13,000660.KS,191860.34375
2025-01-14,000660.KS,192551.546875
2025-01-15,000660.KS,195711.34375
2025-01-16,000660.KS,207363.203125
2025-01-17,000660.KS,211806.71875
2025-01-20,000660.KS,209338.078125
2025-01-21,000660.KS,215262.734375
2025-01-22,000660.KS,222668.5625
2025-01-23,000660.KS,216743.90625
2025-01-24,000660.KS,218225.078125
2025-01-31,000660.KS,196698.796875
2025-02-03,000660.KS,188503.015625
2025-02-04,000660.KS,188700.515625
2025-02-05,000660.KS,196303.828125
2025-02-06,000660.KS,200944.828125
2025-02-07,000660.KS,200451.09375
2025-02-10,000660.KS,195612.625
2025-02-11,000660.KS,197192.515625
2025-02-12,000660.KS,196402.5625
2025-02-13,000660.KS,205882.03125
2025-02-14,000660.KS,207363.203125
2025-02-17,000660.KS,209338.078125
2025-02-18,000660.KS,207363.203125
2025-02-19,000660.KS,215756.484375
2025-02-20,000660.KS,209338.078125
2025-02-21,000660.KS,206869.453125
2025-02-24,000660.KS,202426.0
2025-02-25,000660.KS,197982.484375
2025-02-26,000660.KS,200451.09375
2025-02-27,000660.KS,197970.5
2025-02-28,000660.KS,189026.0625
2025-03-04,000660.KS,184951.359375
2025-03-05,000660.KS,191908.15625
2025-03-06,000660.KS,191212.46875
2025-03-07,000660.KS,191212.46875
2025-03-10,000660.KS,186740.234375
2025-03-11,000660.KS,186640.84375
2025-03-12,000660.KS,197672.34375
2025-03-13,000660.KS,198467.390625
2025-03-14,000660.KS,203237.78125
2025-03-17,000660.KS,204728.515625
2025-03-18,000660.KS,201747.046875
2025-03-19,000660.KS,204231.625
2025-03-20,000660.KS,208703.84375
2025-03-21,000660.KS,214169.890625
2025-03-24,000660.KS,210194.59375
2025-03-25,000660.KS,206716.1875
2025-03-26,000660.KS,212679.15625
2025-03-27,000660.KS,205722.375
2025-03-28,000660.KS,198069.875
2025-03-31,000660.KS,189522.953125
2025-04-01,000660.KS,195784.0625
2025-04-02,000660.KS,196678.53125
2025-04-03,000660.KS,193398.875
2025-04-04,000660.KS,181075.421875
2025-04-07,000660.KS,163782.828125
2025-04-08,000660.KS,168453.8125
2025-04-09,000660.KS,163981.578125
2025-04-10,000660.KS,182069.234375
2025-04-11,000660.KS,179684.078125
2025-04-14,000660.KS,179087.75
2025-04-15,000660.KS,179485.28125
2025-04-16,000660.KS,172926.046875
2025-04-17,000660.KS,173919.859375
2025-04-18,000660.KS,173919.859375
2025-04-21,000660.KS,175510.0
2025-04-22,000660.KS,172727.265625
2025-04-23,000660.KS,179882.828125
2025-04-24,000660.KS,177199.515625
2025-04-25,000660.KS,183261.84375
2025-04-28,000660.KS,180876.671875
2025-04-29,000660.KS,179684.078125
2025-04-30,000660.KS,176404.421875
2025-05-02,000660.KS,184851.953125
2025-05-07,000660.KS,189622.328125
2025-05-08,000660.KS,189125.421875
2025-05-09,000660.KS,188926.671875
2025-05-12,000660.KS,193796.421875
2025-05-13,000660.KS,197274.8125
2025-05-14,000660.KS,204728.515625
2025-05-15,000660.KS,199262.484375
2025-05-16,000660.KS,203237.78125
2025-05-19,000660.KS,198169.296875
2025-05-20,000660.KS,200753.21875
2025-05-21,000660.KS,199262.484375
2025-05-22,000660.KS,195684.703125
2025-05-23,000660.KS,198765.546875
2025-05-26,000660.KS,201747.046875
2025-05-27,000660.KS,201250.15625
2025-05-28,000660.KS,206716.1875
2025-05-29,000660.KS,211072.015625
2025-05-30,000660.KS,203604.859375
2025-06-02,000660.KS,206591.734375
2025-06-04,000660.KS,216547.9375
2025-06-05,000660.KS,223517.3125
2025-06-09,000660.KS,227997.625
2025-06-10,000660.KS,229491.046875
2025-06-11,000660.KS,238949.453125
2025-06-12,000660.KS,234469.171875
2025-06-13,000660.KS,234469.171875
2025-06-16,000660.KS,246914.453125
2025-06-17,000660.KS,247910.0625
2025-06-18,000660.KS,245421.015625
2025-06-19,000660.KS,244923.203125
2025-06-20,000660.KS,255875.0625
2025-06-23,000660.KS,258364.109375
2025-06-24,000660.KS,277280.9375
2025-06-25,000660.KS,284748.09375
2025-06-26,000660.KS,291717.46875
2025-06-27,000660.KS,282756.875
2025-06-30,000660.KS,290721.84375
2025-07-01,000660.KS,284250.3125
2025-07-02,000660.KS,277778.78125
2025-07-03,000660.KS,277280.9375
2025-07-04,000660.KS,269315.96875
2025-07-07,000660.KS,269813.75
2025-07-08,000660.KS,280765.625
2025-07-09,000660.KS,279770.03125
2025-07-10,000660.KS,295699.96875
2025-07-11,000660.KS,293210.90625
2025-07-14,000660.KS,298686.84375
2025-07-15,000660.KS,297193.40625
2025-07-16,000660.KS,294704.375
2025-07-17,000660.KS,268320.3125
2025-07-18,000660.KS,267822.53125
2025-07-21,000660.KS,271307.21875
2025-07-22,000660.KS,267324.65625
2025-07-23,000660.KS,267822.53125
2025-07-24,000660.KS,268320.3125
2025-07-25,000660.KS,264835.6875
2025-07-28,000660.KS,260853.171875
2025-07-29,000660.KS,261350.984375
2025-07-30,000660.KS,262346.59375
2025-07-31,000660.KS,272302.84375
2025-08-01,000660.KS,256870.671875
2025-08-04,000660.KS,256870.671875
2025-08-05,000660.KS,262346.59375
2025-08-06,000660.KS,257368.484375
2025-08-07,000660.KS,260853.171875
2025-08-08,000660.KS,255377.25
2025-08-11,000660.KS,265831.28125
2025-08-12,000660.KS,267822.53125
2025-08-13,000660.KS,276783.1875
2025-08-14,000660.KS,275289.71875
2025-08-18,000660.KS,266329.0625
2025-08-19,000660.KS,261848.796875
2025-08-20,000660.KS,254381.625
2025-08-21,000660.KS,243927.578125
2025-08-22,000660.KS,249901.328125
2025-08-25,000660.KS,258364.109375
2025-08-26,000660.KS,260355.359375
2025-08-27,000660.KS,258861.921875
2025-08-28,000660.KS,267710.8125
